"","countries","happiness_score","human_freedom_score","personal_freedom_score","economic_freedom_score","religion","association","assembly","movement","inheritance_rights","disapperances_conflicts_and_terrorism","rule_of_law","homicide","size_of_government"
"127","South Sudan",2.81660008430481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Spain",6.40089988708496,8.12,8.6861161717898,7.55,7.99666666666667,10,7.5,10,7.5,9.87465974359204,7.01186382024757,9.72,6.08907035328171
"129","Sri Lanka",4.3270001411438,6.41,6.24585116960426,6.57,6.8762962962963,5,5,10,0,7.9912951563763,4.51864491729688,9.08,7.63259353993881
"130","Swaziland",4.30810022354126,6.4,6.28962572320044,6.52,7.95722222222222,NA,NA,7.5,2.5,9.5,4.71739178169067,6.2,5.25400291441629
"131","Sweden",7.35349988937378,8.5,9.44597765949572,7.56,8.88481481481482,10,10,10,10,9.83959218766229,8.53964445902665,9.56,4.54276551534601
"132","Switzerland",7.55989980697632,8.82,9.23693394326962,8.4,8.18851851851852,10,10,10,10,10,8.27232836567107,9.8,7.59527518911009
"133","Taiwan",6.45539999008179,8.4,8.94240566411939,7.85,9.35740740740741,10,10,10,7.5,9.49830698264691,7.00527389580621,9.67299326762116,7.38213011329736
"134","Tajikistan",5.55569982528687,5.77,5.49051785993475,6.05,4.35555555555556,2.5,2.5,8.33333333333333,7.5,8.49252728354165,3.01109475456579,9.35516467673983,5.08768308026856
"135","Tanzania",3.47620010375977,6.26,5.74813571252875,6.77,6.44777777777778,7.5,5,8.33333333333333,0,8.487902057172,4.24413105327987,7.52,6.65822510876992
"136","Thailand",5.9987998008728,6.55,6.2472972417345,6.86,7.25592592592593,2.5,0,5,10,7.73251257375586,4.28636494687223,8.70422510222452,6.78232929313053
"137","Togo",4.18720006942749,6.31,6.41041624236621,6.21,8.87740740740741,7.5,5,5.83333333333333,7.5,9.5,4.03831008972954,6.40003289317417,6.51096626084283
"138","Trinidad",6.19189977645874,6.62,6.53850194345348,6.7,8.61611111111111,NA,NA,7.5,10,9.5,4.73136888492502,0,5.40369157321491
"139","Tunisia",4.39219999313354,6.08,5.96897002499522,6.2,6.45740740740741,7.5,7.5,5,0,8.95375238814719,4.75780369530425,8.78015936556529,5.63336104511019
"140","Turkey",5.13180017471313,6.21,5.74023931859509,6.67,4.49407407407407,7.5,5,6.66666666666667,7.5,6.08335948561699,3.9745232459629,8.27490640421821,6.60119929869623
"141","Turkmenistan",5.11910009384155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Uganda",4.43200016021729,6.61,5.82417605448186,7.39,8.39814814814815,7.5,5,7.5,5,9.12174021369843,3.36304089234498,5.6,7.4794986716248
"143","UK",7.16450023651123,8.47,8.8497973721467,8.09,7.58555555555556,10,10,10,7.5,9.77523083142328,7.71655698922348,9.52,6.20981652620236
"144","Ukraine",4.56069993972778,6.26,6.56045178123176,5.96,5.85777777777778,7.5,7.5,6.66666666666667,10,6.27520609653685,4.54637355865627,7.52,7.15665237018311
"145","United Arab Emirates",6.79080009460449,6.13,5.0872390644012,7.17,4.69592592592593,0,0,4.16666666666667,0,8.5,6.36595117748491,9.64247555781997,5.84856662046084
"146","Uruguay",6.44010019302368,7.74,8.42075401688034,7.05,8.47962962962963,7.5,10,10,10,10,6.6416404061457,6.72,6.32001421688619
"147","USA",6.93959999084473,8.46,8.72004899385832,8.19,8.85407407407407,10,10,10,10,9.34310691979545,6.94991165825278,7.88,7.15759922262584
"148","Uzbekistan",6.25759983062744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Venezuela",5.05319976806641,3.8,5.02701679925614,2.58,6.88481481481481,10,10,6.66666666666667,10,8.94954717284612,2.06025740216428,0,4.57874589537672
"150","Vietnam",5.35349988937378,6.29,6.31097335178539,6.27,5.89592592592593,2.5,2.5,5,7.5,10,4.91207108974335,9.39264268458016,6.6987419644477
"151","Yemen",3.52740001678467,4.3,2.75015021597511,5.84,NA,NA,NA,1.66666666666667,0,1.17951095948308,2.37187201024413,7.33659906221074,7.10834263513624
"152","Zambia",3.75939989089966,6.49,6.13347837102269,6.84,7.33277777777778,NA,NA,4.16666666666667,5,9.5,4.11558372652422,7.88082260603294,6.61112222674297
"153","Zimbabwe",3.2992000579834,5.65,5.6080239201755,5.69,6.42777777777778,2.5,2.5,6.66666666666667,7.5,8.99758014323616,3.5075989543938,7.33257670235512,5.49167644791737
"154","Angola",NA,5.4,5.97993573267135,4.83,8.78666666666667,2.5,2.5,6.66666666666667,5,8.87640300231289,3.4119028025886,8.06026023912034,6.75907739372178
"155","Bahamas",NA,7.56,7.87120451262738,7.25,7.93888888888889,NA,NA,10,10,10,6.40079027273174,0,8.096860474435
"156","Barbados",NA,7.02,7.5897524132377,6.45,8.49444444444444,NA,NA,7.5,10,10,6.69928743072856,5.8,6.27094066054334
"157","Belize",NA,6.95,7.11836383560218,6.78,9.055,NA,NA,7.5,10,10,4.26887200907537,0,6.89237381656675
"158","Bhutan",NA,6.53,6.28627999701272,6.77,7.25777777777778,NA,NA,3.33333333333333,10,9.5,6.18789776582865,9.36,6.90656959456722
"159","Brunei Darussalam",NA,5.69,4.76090202805466,6.62,0,0,0,4.16666666666667,0,10,6.21885934355145,9.80281773457295,3.33333333333333
"160","Cape Verde",NA,7.45,7.74008475629658,7.16,8.10833333333333,NA,NA,10,10,10,5.84386623591818,5.40566836780441,7.18241644477842
"161","Fiji",NA,7.17,7.60547365023136,6.74,9.20277777777778,NA,NA,5.83333333333333,7.5,10,4.78821647488981,9.0968677114402,5.96983727376084
"162","Guinea-Bissau",NA,6.07,6.90466463590915,5.23,9.85277777777778,NA,NA,10,2.5,9,2.88060298808104,9.56,5.03951058299853
"163","Guyana",NA,6.74,7.16082174225842,6.32,9.16111111111111,NA,NA,7.5,10,9.5,4.66106474681146,4.08,5.72458243397425
"164","Kyrgyztan",NA,6.98,7.04588765829977,6.92,7.13055555555556,NA,NA,8.33333333333333,7.5,8.5,3.80702764175712,8.32,7.02808229164075
"165","Oman",NA,5.98,5.19833155245076,6.76,5.03333333333333,2.5,2.5,4.16666666666667,0,9.5,5.87523097170779,9.8,4.44144748908891
"166","Papua New Guinea",NA,6.6,6.84167136660279,6.36,8.08666666666667,NA,NA,10,5,9.48545659387126,3.85944993512073,6,6.08884162510837
"167","Qatar",NA,6.15,5.23826730832533,7.07,4.69074074074074,0,2.5,1.66666666666667,0,10,6.34159733043708,9.84838396256095,5.68830294299416
"168","Seychelles",NA,7.16,7.15851310240027,7.16,8.13888888888889,NA,NA,4.16666666666667,10,10,5.34619188810132,4.90524823116587,6.27498489005409
"169","Sudan",NA,4.32,3.96653441557575,4.67,6.49,2.5,2.5,3.33333333333333,0,5.98421048389889,3.40448244993937,7.93418372462062,7.64448755359258
"170","Suriname",NA,7.48,8.30013357240247,6.65,9.48611111111111,NA,NA,10,NA,10,4.93039540072097,7.8,6.36924963467524
"171","Syria",NA,3.79,2.52515241831329,5.05,4.40555555555556,NA,NA,0.833333333333333,0,0,1.83121540195528,9.11888547195339,5.723804852312
"172","Timor-Leste",NA,6.76,7.52154508155728,5.99,8.62555555555556,NA,NA,10,7.5,9.5,3.31028613056714,8.42059925365256,4.45041423927875
